id,value,risk
1,7275.64,9
2,6832.23,6
3,3087.19,1
4,2770.78,1
5,6655.49,3
6,9033.72,5
7,3687.83,7
8,2757.48,5
9,4636.54,3
10,7829.02,2
11,9193.28,10
12,4364.91,2
13,7499.06,4
14,3865.67,10
15,1773.78,10
16,5943.50,1
17,2097.68,10
18,8259.66,4
19,1722.18,7
20,5874.27,9
21,7512.80,5
22,5710.40,9
23,5800.25,7
24,7525.10,3
25,314.18,1
26,3579.20,4
27,8177.97,6
28,4176.88,10
29,9740.36,7
30,7134.06,9
31,4805.75,7
32,2916.56,2
33,9498.60,6
34,8204.92,8
35,6366.45,5
36,3691.21,8
37,3602.55,3
38,4346.61,9
39,4573.17,3
40,4726.88,9
41,4690.23,4
42,8273.22,2
43,1510.32,3
44,8338.66,2
45,4603.06,8
46,2805.72,8
47,1959.64,7
48,1792.73,4
49,8656.87,6
50,4865.91,9
51,4209.72,1
52,6328.70,5
53,6998.59,7
54,3153.28,3
55,5716.20,1
56,3710.12,2
57,8718.15,9
58,8057.31,9
59,6162.14,2
60,3743.59,10
61,6972.49,6
62,9086.15,2
63,1961.47,6
64,8091.25,6
65,6279.33,10
66,4633.99,4
67,3055.79,7
68,5399.09,3
69,6351.11,6
70,1262.58,4
71,4973.27,4
72,273.14,10
73,364.85,4
74,4838.44,4
75,6550.53,9
76,3957.66,5
77,9401.72,2
78,3846.11,4
79,6462.32,8
80,7704.66,5
81,8940.43,10
82,5988.37,1
83,9760.34,4
84,770.85,10
85,7751.21,5
86,2788.22,10
87,8992.05,6
88,3738.36,8
89,4313.10,6
90,3323.24,4
91,3151.47,2
92,4427.36,4
93,964.51,9
94,7451.53,8
95,1708.60,1
96,8053.91,9
97,1397.90,4
98,929.47,7
99,270.30,3
100,5483.35,2
101,2821.98,9
102,9674.95,7
103,9045.01,3
104,3439.42,6
105,140.56,3
106,8095.94,6
107,5214.94,4
108,8351.56,4
109,5834.62,6
110,6882.46,5
111,5563.82,3
112,1157.50,10
113,5885.09,4
114,8951.42,9
115,6264.75,1
116,3825.81,7
117,9036.25,2
118,8337.00,8
119,2601.94,5
120,9622.36,10
121,3975.36,9
122,5735.35,5
123,2581.65,2
124,8217.46,1
125,6591.83,10
