id,value,risk
1,2600.00,7
2,5260.00,3
3,4960.00,1
4,7680.00,6
5,9400.00,2
6,500.00,1
7,100.00,4
8,8360.00,8
9,380.00,10
10,1860.00,7
11,3640.00,1
12,40.00,5
13,5520.00,8
14,5840.00,3
15,9520.00,9
16,640.00,5
17,9120.00,5
18,3400.00,3
19,4860.00,8
20,4180.00,6
21,8000.00,3
22,7260.00,9
23,4520.00,1
24,8260.00,2
25,4860.00,4
26,4820.00,1
27,600.00,5
28,9160.00,1
29,7740.00,4
30,4920.00,2
31,4600.00,4
32,5120.00,6
33,8600.00,10
34,1700.00,10
35,4340.00,2
36,4540.00,7
37,4240.00,3
38,1860.00,6
39,4260.00,5
40,3280.00,4
41,7580.00,6
42,1300.00,4
43,6460.00,4
44,4740.00,5
45,9500.00,6
46,680.00,6
47,6140.00,5
48,8700.00,5
49,3140.00,1
50,8860.00,4
51,3860.00,7
52,8800.00,7
53,1160.00,8
54,5120.00,4
55,3200.00,4
56,8200.00,5
57,4260.00,6
58,1180.00,8
59,5220.00,8
60,60.00,10
61,7940.00,8
62,6380.00,5
63,1040.00,10
64,2020.00,4
65,1880.00,8
66,5880.00,2
67,5960.00,8
68,4380.00,7
69,5500.00,3
70,9980.00,9
71,7800.00,5
72,20.00,9
73,9060.00,1
74,8580.00,8
75,1460.00,8
76,4660.00,3
77,9720.00,2
78,9200.00,5
79,2500.00,3
80,1860.00,8
81,4000.00,4
82,1880.00,10
83,8060.00,7
84,2840.00,8
85,6140.00,2
86,1860.00,2
87,2180.00,7
88,4880.00,10
89,7960.00,3
90,9580.00,4
91,4940.00,6
92,3920.00,1
93,8460.00,4
94,5900.00,8
95,5180.00,9
96,6460.00,9
97,4580.00,8
98,9520.00,4
99,9520.00,5
100,6560.00,5
101,7400.00,5
102,2800.00,6
103,640.00,2
104,580.00,7
105,9660.00,6
106,8220.00,5
107,4180.00,6
108,4920.00,8
109,5500.00,7
110,440.00,1
111,6920.00,5
112,2080.00,6
113,1940.00,5
114,9020.00,7
115,620.00,6
116,3400.00,6
117,6120.00,3
118,5900.00,1
119,2120.00,1
120,3580.00,9
121,4920.00,2
122,4560.00,2
123,9160.00,1
124,6460.00,7
125,3040.00,7
126,6640.00,7
127,6440.00,7
128,8460.00,2
129,8660.00,1
130,8040.00,5
131,7040.00,5
132,3440.00,1
133,4760.00,1
134,8640.00,9
135,3440.00,4
136,3360.00,6
137,500.00,2
138,8840.00,6
139,2540.00,2
140,8660.00,5
141,7460.00,7
142,540.00,2
143,4420.00,1
144,8460.00,4
145,8080.00,4
146,6060.00,9
147,5560.00,10
148,1860.00,10
149,8940.00,3
150,4820.00,8
151,2600.00,2
152,700.00,7
153,420.00,8
154,5100.00,4
155,9620.00,9
156,5980.00,3
157,2000.00,7
158,3020.00,6
159,6840.00,9
160,8820.00,9
161,5680.00,9
162,9920.00,5
163,4800.00,2
164,2200.00,6
165,1300.00,6
166,1400.00,2
167,600.00,10
168,580.00,3
169,580.00,7
170,5820.00,1
171,6480.00,6
172,8680.00,4
173,4820.00,10
174,6160.00,3
175,120.00,10
176,7620.00,1
177,4240.00,1
178,9920.00,7
179,8580.00,1
180,6840.00,8
181,920.00,2
182,1780.00,10
183,4200.00,1
184,9980.00,8
185,5480.00,9
186,5700.00,8
187,720.00,8
188,4900.00,2
189,9840.00,9
190,6620.00,6
191,7960.00,9
192,5860.00,2
193,7320.00,2
194,9560.00,2
195,5320.00,2
196,7580.00,9
197,3780.00,3
198,8860.00,8
199,5860.00,3
200,7480.00,6
201,4180.00,3
202,3360.00,6
203,7560.00,4
204,3760.00,6
205,5380.00,9
206,7540.00,8
207,2440.00,5
208,9820.00,1
209,3080.00,10
210,5600.00,3
211,3000.00,10
212,3860.00,3
213,9760.00,6
214,8960.00,9
215,7880.00,6
216,6100.00,1
217,7180.00,8
218,4620.00,1
219,3660.00,4
220,6460.00,9
221,3500.00,1
222,3620.00,10
223,220.00,6
224,6860.00,9
225,3460.00,3
226,1060.00,6
227,8320.00,1
228,9860.00,2
229,3480.00,2
230,9740.00,6
231,8100.00,8
232,8340.00,9
233,2360.00,2
234,6940.00,6
235,5320.00,6
236,3180.00,8
237,1740.00,3
238,200.00,6
239,1060.00,4
240,5800.00,4
241,7720.00,2
242,9720.00,1
243,8620.00,7
244,4600.00,10
245,1760.00,7
246,8420.00,10
247,2820.00,6
248,7820.00,6
249,4600.00,5
250,3500.00,7
251,3860.00,7
252,4900.00,1
253,7620.00,3
254,8500.00,3
255,5060.00,4
256,1900.00,10
257,9180.00,6
258,9180.00,9
259,6300.00,5
260,2620.00,2
261,7160.00,2
262,180.00,5
263,5200.00,4
264,6320.00,10
265,1280.00,9
266,6940.00,3
267,1300.00,10
268,2140.00,9
269,1980.00,8
270,4120.00,6
271,5880.00,7
272,6800.00,1
273,5760.00,10
274,620.00,2
275,200.00,1
276,3180.00,10
277,3720.00,10
278,6120.00,10
279,2860.00,9
280,6840.00,5
281,1340.00,8
282,7980.00,4
283,9040.00,9
284,2740.00,8
285,8200.00,9
286,7320.00,5
287,6380.00,4
288,5760.00,10
289,4500.00,4
290,1800.00,2
291,8800.00,2
292,360.00,7
