id,value,risk
1,10000.00,1
2,9999.90,4
3,9999.80,9
4,9999.70,5
5,9999.60,1
6,9999.50,6
7,9999.40,6
8,9999.30,9
9,9999.20,10
10,9999.10,4
11,9999.00,3
12,9998.90,3
13,9998.80,7
14,9998.70,3
15,9998.60,7
16,9998.50,3
17,9998.40,7
18,9998.30,1
19,9998.20,4
20,9998.10,10
21,9998.00,1
22,9997.90,4
23,9997.80,7
24,9997.70,4
25,9997.60,4
26,9997.50,2
27,9997.40,1
28,9997.30,9
29,9997.20,8
30,9997.10,7
31,9997.00,1
32,9996.90,7
33,9996.80,1
34,9996.70,6
35,9996.60,8
36,9996.50,8
37,9996.40,3
38,9996.30,4
39,9996.20,4
40,9996.10,5
41,9996.00,10
42,9995.90,6
43,9995.80,4
44,9995.70,8
45,9995.60,6
46,9995.50,5
47,9995.40,8
48,9995.30,6
49,9995.20,8
50,9995.10,4
51,9995.00,4
52,9994.90,1
53,9994.80,9
54,9994.70,7
55,9994.60,1
56,9994.50,1
57,9994.40,4
58,9994.30,10
59,9994.20,2
60,9994.10,4
61,9994.00,8
62,9993.90,10
63,9993.80,3
64,9993.70,2
65,9993.60,5
66,9993.50,5
67,9993.40,9
68,9993.30,10
69,9993.20,6
70,9993.10,10
71,9993.00,1
72,9992.90,2
73,9992.80,4
74,9992.70,10
75,9992.60,4
76,9992.50,4
77,9992.40,7
78,9992.30,1
79,9992.20,6
80,9992.10,4
81,9992.00,1
82,9991.90,5
83,9991.80,4
84,9991.70,3
85,9991.60,8
86,9991.50,4
87,9991.40,10
88,9991.30,5
89,9991.20,9
90,9991.10,10
91,9991.00,8
92,9990.90,7
93,9990.80,4
94,9990.70,6
95,9990.60,10
96,9990.50,4
97,9990.40,10
98,9990.30,7
99,9990.20,7
100,9990.10,9
101,9990.00,1
102,9989.90,1
103,9989.80,3
104,9989.70,10
105,9989.60,4
106,9989.50,2
107,9989.40,10
108,9989.30,7
109,9989.20,6
110,9989.10,3
111,9989.00,7
112,9988.90,5
113,9988.80,8
114,9988.70,2
115,9988.60,2
116,9988.50,1
117,9988.40,7
118,9988.30,6
119,9988.20,7
120,9988.10,10
121,9988.00,7
122,9987.90,9
123,9987.80,9
124,9987.70,4
125,9987.60,3
126,9987.50,3
127,9987.40,3
128,9987.30,4
129,9987.20,4
130,9987.10,3
131,9987.00,3
132,9986.90,3
133,9986.80,9
134,9986.70,3
135,9986.60,3
136,9986.50,9
137,9986.40,6
138,9986.30,3
139,9986.20,8
140,9986.10,4
141,9986.00,4
142,9985.90,8
143,9985.80,2
144,9985.70,4
145,9985.60,5
146,9985.50,4
147,9985.40,9
148,9985.30,4
149,9985.20,8
150,9985.10,2
151,9985.00,1
152,9984.90,6
153,9984.80,2
154,9984.70,6
155,9984.60,2
156,9984.50,10
157,9984.40,1
158,9984.30,2
159,9984.20,3
160,9984.10,2
161,9984.00,5
162,9983.90,7
163,9983.80,1
164,9983.70,1
165,9983.60,6
166,9983.50,1
167,9983.40,1
168,9983.30,10
169,9983.20,10
170,9983.10,2
171,9983.00,5
172,9982.90,5
173,9982.80,2
174,9982.70,9
175,9982.60,7
176,9982.50,2
177,9982.40,3
178,9982.30,7
179,9982.20,10
180,9982.10,3
181,9982.00,7
182,9981.90,10
183,9981.80,1
184,9981.70,10
185,9981.60,5
186,9981.50,6
187,9981.40,7
188,9981.30,6
189,9981.20,3
190,9981.10,2
191,9981.00,9
192,9980.90,4
193,9980.80,7
194,9980.70,9
195,9980.60,7
196,9980.50,10
197,9980.40,10
198,9980.30,4
199,9980.20,4
200,9980.10,5
201,9980.00,10
202,9979.90,9
203,9979.80,9
204,9979.70,9
205,9979.60,10
206,9979.50,8
207,9979.40,3
208,9979.30,2
209,9979.20,5
210,9979.10,1
211,9979.00,1
212,9978.90,4
213,9978.80,9
214,9978.70,9
215,9978.60,5
216,9978.50,6
217,9978.40,10
218,9978.30,2
219,9978.20,4
220,9978.10,4
221,9978.00,6
222,9977.90,2
223,9977.80,2
224,9977.70,4
225,9977.60,4
226,9977.50,4
227,9977.40,7
228,9977.30,4
229,9977.20,5
230,9977.10,8
231,9977.00,6
232,9976.90,8
233,9976.80,9
234,9976.70,8
235,9976.60,7
236,9976.50,10
237,9976.40,8
238,9976.30,1
239,9976.20,4
240,9976.10,1
241,9976.00,7
242,9975.90,7
243,9975.80,2
244,9975.70,1
245,9975.60,9
246,9975.50,2
247,9975.40,2
248,9975.30,2
249,9975.20,1
250,9975.10,6
251,9975.00,4
252,9974.90,6
253,9974.80,2
254,9974.70,6
255,9974.60,4
256,9974.50,6
257,9974.40,10
258,9974.30,10
259,9974.20,6
260,9974.10,2
261,9974.00,9
262,9973.90,10
263,9973.80,1
264,9973.70,7
265,9973.60,5
266,9973.50,8
267,9973.40,6
268,9973.30,8
269,9973.20,10
270,9973.10,7
271,9973.00,5
272,9972.90,1
273,9972.80,9
274,9972.70,2
275,9972.60,1
276,9972.50,10
277,9972.40,7
278,9972.30,7
279,9972.20,4
280,9972.10,3
281,9972.00,8
282,9971.90,10
283,9971.80,3
284,9971.70,8
285,9971.60,1
286,9971.50,7
287,9971.40,10
288,9971.30,9
289,9971.20,6
290,9971.10,1
291,9971.00,1
292,9970.90,9
293,9970.80,10
294,9970.70,3
295,9970.60,8
296,9970.50,8
297,9970.40,4
298,9970.30,6
299,9970.20,2
300,9970.10,4
301,9970.00,8
302,9969.90,10
303,9969.80,5
304,9969.70,7
305,9969.60,1
306,9969.50,10
307,9969.40,4
308,9969.30,4
309,9969.20,7
310,9969.10,3
311,9969.00,6
312,9968.90,9
313,9968.80,5
314,9968.70,5
315,9968.60,4
316,9968.50,5
317,9968.40,6
318,9968.30,4
319,9968.20,6
320,9968.10,1
321,9968.00,8
322,9967.90,6
323,9967.80,5
324,9967.70,10
325,9967.60,9
326,9967.50,9
327,9967.40,10
328,9967.30,2
329,9967.20,7
330,9967.10,3
331,9967.00,9
332,9966.90,4
333,9966.80,2
334,9966.70,8
335,9966.60,7
336,9966.50,7
337,9966.40,8
338,9966.30,4
339,9966.20,2
340,9966.10,7
341,9966.00,10
342,9965.90,5
343,9965.80,8
344,9965.70,7
345,9965.60,2
346,9965.50,9
347,9965.40,3
348,9965.30,4
349,9965.20,10
350,9965.10,9
351,9965.00,5
352,9964.90,8
353,9964.80,2
354,9964.70,7
355,9964.60,1
356,9964.50,10
357,9964.40,7
358,9964.30,3
359,9964.20,8
360,9964.10,3
361,9964.00,4
362,9963.90,8
363,9963.80,1
364,9963.70,3
365,9963.60,7
366,9963.50,5
367,9963.40,6
368,9963.30,7
369,9963.20,7
370,9963.10,1
371,9963.00,6
372,9962.90,2
373,9962.80,9
374,9962.70,2
375,9962.60,3
376,9962.50,7
377,9962.40,10
378,9962.30,5
379,9962.20,6
380,9962.10,9
381,9962.00,3
382,9961.90,3
383,9961.80,3
384,9961.70,6
385,9961.60,3
386,9961.50,8
387,9961.40,3
388,9961.30,6
389,9961.20,6
390,9961.10,2
391,9961.00,3
392,9960.90,1
393,9960.80,9
394,9960.70,10
395,9960.60,6
396,9960.50,7
397,9960.40,8
398,9960.30,7
399,9960.20,3
400,9960.10,1
401,9960.00,4
402,9959.90,8
403,9959.80,8
404,9959.70,4
405,9959.60,9
406,9959.50,4
407,9959.40,9
408,9959.30,2
409,9959.20,1
410,9959.10,3
411,9959.00,1
412,9958.90,2
413,9958.80,8
414,9958.70,9
415,9958.60,9
416,9958.50,5
417,9958.40,9
418,9958.30,8
419,9958.20,4
420,9958.10,1
421,9958.00,10
422,9957.90,9
423,9957.80,4
424,9957.70,6
425,9957.60,5
426,9957.50,6
427,9957.40,8
428,9957.30,9
429,9957.20,5
430,9957.10,4
431,9957.00,5
432,9956.90,10
433,9956.80,2
434,9956.70,9
435,9956.60,7
436,9956.50,10
437,9956.40,10
438,9956.30,2
439,9956.20,5
440,9956.10,1
441,9956.00,5
442,9955.90,9
443,9955.80,2
444,9955.70,6
445,9955.60,5
446,9955.50,9
447,9955.40,3
448,9955.30,2
449,9955.20,2
450,9955.10,3
451,9955.00,1
452,9954.90,9
453,9954.80,1
454,9954.70,9
455,9954.60,8
456,9954.50,8
457,9954.40,5
458,9954.30,2
459,9954.20,9
460,9954.10,6
461,9954.00,2
462,9953.90,8
463,9953.80,10
464,9953.70,10
465,9953.60,9
466,9953.50,8
467,9953.40,4
468,9953.30,5
469,9953.20,10
470,9953.10,7
471,9953.00,5
472,9952.90,8
473,9952.80,8
474,9952.70,7
475,9952.60,7
476,9952.50,5
477,9952.40,1
478,9952.30,6
479,9952.20,6
480,9952.10,7
481,9952.00,8
482,9951.90,9
483,9951.80,6
484,9951.70,9
485,9951.60,1
486,9951.50,8
487,9951.40,7
488,9951.30,5
489,9951.20,7
490,9951.10,2
491,9951.00,1
492,9950.90,8
493,9950.80,5
494,9950.70,5
495,9950.60,4
496,9950.50,2
497,9950.40,5
498,9950.30,5
499,9950.20,7
500,9950.10,4
501,9950.00,4
502,9949.90,7
503,9949.80,2
504,9949.70,4
505,9949.60,1
506,9949.50,1
507,9949.40,9
508,9949.30,6
509,9949.20,5
510,9949.10,5
511,9949.00,10
512,9948.90,4
513,9948.80,5
514,9948.70,5
515,9948.60,2
516,9948.50,8
517,9948.40,6
518,9948.30,2
519,9948.20,9
520,9948.10,6
521,9948.00,9
522,9947.90,5
523,9947.80,6
524,9947.70,2
525,9947.60,2
526,9947.50,1
527,9947.40,8
528,9947.30,9
529,9947.20,9
530,9947.10,3
531,9947.00,5
532,9946.90,5
533,9946.80,3
534,9946.70,1
535,9946.60,7
536,9946.50,6
537,9946.40,1
538,9946.30,6
539,9946.20,4
540,9946.10,2
541,9946.00,1
542,9945.90,2
543,9945.80,10
544,9945.70,5
545,9945.60,1
546,9945.50,7
547,9945.40,5
548,9945.30,8
549,9945.20,9
550,9945.10,6
551,9945.00,9
552,9944.90,1
553,9944.80,4
554,9944.70,7
555,9944.60,9
556,9944.50,3
557,9944.40,5
558,9944.30,8
559,9944.20,2
560,9944.10,8
561,9944.00,9
562,9943.90,10
563,9943.80,2
564,9943.70,9
565,9943.60,8
566,9943.50,4
567,9943.40,9
568,9943.30,8
569,9943.20,8
570,9943.10,3
571,9943.00,5
572,9942.90,3
573,9942.80,6
574,9942.70,10
575,9942.60,5
576,9942.50,10
577,9942.40,5
578,9942.30,3
579,9942.20,4
580,9942.10,5
581,9942.00,7
582,9941.90,1
583,9941.80,1
584,9941.70,2
585,9941.60,5
586,9941.50,5
587,9941.40,7
588,9941.30,4
589,9941.20,7
590,9941.10,4
591,9941.00,8
592,9940.90,6
593,9940.80,6
594,9940.70,4
595,9940.60,3
596,9940.50,5
597,9940.40,3
598,9940.30,4
599,9940.20,3
600,9940.10,10
601,9940.00,7
602,9939.90,10
603,9939.80,4
604,9939.70,4
605,9939.60,6
606,9939.50,6
607,9939.40,6
608,9939.30,9
609,9939.20,9
610,9939.10,3
611,9939.00,7
612,9938.90,10
613,9938.80,4
614,9938.70,10
615,9938.60,4
616,9938.50,2
617,9938.40,4
618,9938.30,9
619,9938.20,4
620,9938.10,6
621,9938.00,10
622,9937.90,9
623,9937.80,3
624,9937.70,3
625,9937.60,8
626,9937.50,8
627,9937.40,4
628,9937.30,1
629,9937.20,2
630,9937.10,8
631,9937.00,2
632,9936.90,9
633,9936.80,10
634,9936.70,3
635,9936.60,9
636,9936.50,4
637,9936.40,5
638,9936.30,2
639,9936.20,10
640,9936.10,9
641,9936.00,7
642,9935.90,10
643,9935.80,1
644,9935.70,9
645,9935.60,8
646,9935.50,8
647,9935.40,4
648,9935.30,10
649,9935.20,9
650,9935.10,9
651,9935.00,3
652,9934.90,1
653,9934.80,1
654,9934.70,7
655,9934.60,9
656,9934.50,8
657,9934.40,5
658,9934.30,10
659,9934.20,2
660,9934.10,6
661,9934.00,10
662,9933.90,7
663,9933.80,1
664,9933.70,10
665,9933.60,9
666,9933.50,8
667,9933.40,1
668,9933.30,10
669,9933.20,8
670,9933.10,1
671,9933.00,6
672,9932.90,2
673,9932.80,1
674,9932.70,4
675,9932.60,2
676,9932.50,3
677,9932.40,9
678,9932.30,9
679,9932.20,4
680,9932.10,2
681,9932.00,9
682,9931.90,2
683,9931.80,10
684,9931.70,10
685,9931.60,7
686,9931.50,2
687,9931.40,3
688,9931.30,1
689,9931.20,2
690,9931.10,6
691,9931.00,9
692,9930.90,2
693,9930.80,8
694,9930.70,3
695,9930.60,5
696,9930.50,5
697,9930.40,7
698,9930.30,9
699,9930.20,4
700,9930.10,9
701,9930.00,6
702,9929.90,8
703,9929.80,3
704,9929.70,8
705,9929.60,10
706,9929.50,9
707,9929.40,2
708,9929.30,1
709,9929.20,7
710,9929.10,7
711,9929.00,10
712,9928.90,9
713,9928.80,10
714,9928.70,6
715,9928.60,8
716,9928.50,5
717,9928.40,2
718,9928.30,1
719,9928.20,2
720,9928.10,2
721,9928.00,6
722,9927.90,6
723,9927.80,3
724,9927.70,10
725,9927.60,6
726,9927.50,9
727,9927.40,9
728,9927.30,7
729,9927.20,1
730,9927.10,5
731,9927.00,5
732,9926.90,6
733,9926.80,2
734,9926.70,9
