value1,value2,riskMin
2575.01,3575.01,6
8535.55,9535.55,3
8858.52,9858.52,5
7937.04,8937.04,3
8733.30,9733.30,8
7355.18,8355.18,7
6250.03,7250.03,9
3468.28,4468.28,8
57.96,1057.96,9
2930.50,3930.50,1
485.03,1485.03,3
6453.83,7453.83,3
7579.01,8579.01,6
4141.20,5141.20,5
1107.08,2107.08,9
7691.40,8691.40,6
1776.97,2776.97,10
773.47,1773.47,7
298.14,1298.14,1
5521.36,6521.36,2
6477.31,7477.31,2
8583.66,9583.66,6
1124.29,2124.29,10
1699.26,2699.26,8
4751.33,5751.33,1
6369.01,7369.01,10
4709.73,5709.73,10
8835.44,9835.44,7
5566.05,6566.05,9
6060.54,7060.54,9
2996.68,3996.68,3
7548.49,8548.49,5
8596.48,9596.48,3
4051.28,5051.28,3
8090.61,9090.61,6
1161.48,2161.48,10
5944.16,6944.16,8
1703.58,2703.58,4
4792.57,5792.57,1
4102.65,5102.65,2
2894.89,3894.89,10
1535.63,2535.63,4
7985.15,8985.15,8
4096.37,5096.37,10
867.65,1867.65,1
3373.34,4373.34,1
3069.00,4069.00,3
5924.02,6924.02,8
1349.18,2349.18,4
1531.93,2531.93,3
4688.81,5688.81,3
8657.93,9657.93,9
3539.53,4539.53,5
6233.71,7233.71,7
5887.00,6887.00,7
8220.81,9220.81,6
4239.28,5239.28,6
6206.59,7206.59,5
471.81,1471.81,2
8277.92,9277.92,8
1949.60,2949.60,6
4082.18,5082.18,2
4471.30,5471.30,9
1443.71,2443.71,2
1410.06,2410.06,10
3523.38,4523.38,9
8803.12,9803.12,10
4677.65,5677.65,6
1721.40,2721.40,3
8268.83,9268.83,10
4752.04,5752.04,5
2388.29,3388.29,6
8563.25,9563.25,7
7653.68,8653.68,6
2094.23,3094.23,7
4977.62,5977.62,9
8768.03,9768.03,4
5932.52,6932.52,4
8113.05,9113.05,1
5391.63,6391.63,7
2019.48,3019.48,2
6527.08,7527.08,4
7740.84,8740.84,4
5233.24,6233.24,2
3747.34,4747.34,2
5396.97,6396.97,4
4351.93,5351.93,3
8411.20,9411.20,5
3351.13,4351.13,8
8191.66,9191.66,10
593.23,1593.23,9
6398.34,7398.34,10
3838.77,4838.77,9
5902.60,6902.60,9
5131.51,6131.51,10
4443.40,5443.40,6
7366.34,8366.34,2
4970.78,5970.78,7
4432.17,5432.17,7
8496.40,9496.40,10
5240.75,6240.75,10
7401.52,8401.52,1
2070.66,3070.66,3
2876.70,3876.70,2
5846.91,6846.91,10
3439.29,4439.29,1
7567.58,8567.58,4
1526.68,2526.68,1
5006.49,6006.49,6
8913.76,9913.76,7
2083.85,3083.85,4
1980.68,2980.68,3
1209.73,2209.73,8
2996.89,3996.89,5
5310.67,6310.67,10
1348.03,2348.03,6
400.24,1400.24,3
5931.98,6931.98,1
1635.18,2635.18,5
2807.59,3807.59,9
5871.52,6871.52,2
8290.23,9290.23,8
4797.89,5797.89,7
3467.90,4467.90,5
862.82,1862.82,4
569.94,1569.94,9
221.42,1221.42,8
6327.01,7327.01,3
8550.97,9550.97,3
2927.35,3927.35,10
1466.40,2466.40,7
4317.34,5317.34,3
4926.31,5926.31,3
576.82,1576.82,4
3642.09,4642.09,7
626.73,1626.73,4
