value1,value2,riskMin
3498.41,4498.41,10
5347.24,6347.24,9
3166.98,4166.98,3
1795.61,2795.61,7
4017.86,5017.86,9
6386.14,7386.14,8
4586.68,5586.68,1
5900.20,6900.20,3
4678.61,5678.61,8
1912.62,2912.62,1
2092.03,3092.03,3
5052.31,6052.31,7
3988.10,4988.10,7
7720.06,8720.06,5
1363.03,2363.03,7
8034.83,9034.83,6
343.17,1343.17,8
2800.92,3800.92,2
7529.31,8529.31,8
3633.64,4633.64,4
167.85,1167.85,9
4323.36,5323.36,1
7475.13,8475.13,9
3725.49,4725.49,4
312.99,1312.99,5
4198.16,5198.16,1
5376.30,6376.30,4
5466.11,6466.11,3
5436.71,6436.71,9
6630.16,7630.16,10
2697.71,3697.71,7
4602.52,5602.52,3
4938.17,5938.17,6
7005.80,8005.80,5
8445.36,9445.36,3
1799.69,2799.69,8
1283.28,2283.28,10
7415.95,8415.95,4
8015.09,9015.09,3
3187.89,4187.89,9
3828.26,4828.26,3
8280.19,9280.19,1
5401.35,6401.35,7
2484.26,3484.26,6
7272.49,8272.49,1
5268.26,6268.26,6
7513.36,8513.36,1
2633.57,3633.57,4
8837.41,9837.41,9
8704.97,9704.97,2
8627.24,9627.24,4
3048.67,4048.67,5
3025.94,4025.94,2
8206.65,9206.65,2
3613.52,4613.52,9
3042.11,4042.11,4
2141.11,3141.11,10
7599.84,8599.84,7
4099.81,5099.81,9
3746.29,4746.29,5
579.39,1579.39,9
1492.92,2492.92,5
5532.72,6532.72,3
3769.92,4769.92,6
2632.49,3632.49,5
7848.86,8848.86,5
4615.97,5615.97,4
6571.41,7571.41,10
170.55,1170.55,2
7786.80,8786.80,10
5541.31,6541.31,7
8314.16,9314.16,5
3101.68,4101.68,8
4730.31,5730.31,9
8062.98,9062.98,1
3061.02,4061.02,9
2041.91,3041.91,8
3135.40,4135.40,4
7857.73,8857.73,6
6052.82,7052.82,6
7740.84,8740.84,1
947.29,1947.29,3
3871.97,4871.97,1
474.15,1474.15,1
7719.83,8719.83,3
836.40,1836.40,3
3891.63,4891.63,2
7245.66,8245.66,1
4440.23,5440.23,6
5194.55,6194.55,9
2334.44,3334.44,5
8688.48,9688.48,5
7450.60,8450.60,4
6985.44,7985.44,5
2007.44,3007.44,7
1309.65,2309.65,3
5107.42,6107.42,7
3351.85,4351.85,5
4094.95,5094.95,1
2869.68,3869.68,5
1037.66,2037.66,3
507.70,1507.70,3
1036.19,2036.19,10
3458.18,4458.18,9
1851.95,2851.95,6
3867.71,4867.71,5
6860.89,7860.89,5
7653.28,8653.28,9
2231.50,3231.50,4
3681.10,4681.10,4
8412.92,9412.92,7
8336.97,9336.97,6
5331.91,6331.91,8
2089.98,3089.98,9
5191.50,6191.50,2
5232.45,6232.45,1
2074.63,3074.63,1
1586.02,2586.02,7
60.18,1060.18,2
4302.41,5302.41,10
2856.85,3856.85,1
210.56,1210.56,1
8143.30,9143.30,8
8367.04,9367.04,8
5198.81,6198.81,3
2561.35,3561.35,1
8974.81,9974.81,6
3469.56,4469.56,9
2982.87,3982.87,3
7121.69,8121.69,10
558.00,1558.00,4
1919.98,2919.98,10
1010.15,2010.15,9
7611.25,8611.25,1
7906.28,8906.28,5
3607.07,4607.07,8
6321.22,7321.22,2
8829.78,9829.78,4
1881.24,2881.24,5
86.91,1086.91,1
6979.98,7979.98,7
789.97,1789.97,1
6538.83,7538.83,1
8375.41,9375.41,3
1110.77,2110.77,7
2140.00,3140.00,9
4597.14,5597.14,7
4012.94,5012.94,7
7885.32,8885.32,3
6893.71,7893.71,9
7208.10,8208.10,8
8292.41,9292.41,9
8777.58,9777.58,9
7111.34,8111.34,2
6653.44,7653.44,4
2987.79,3987.79,4
8812.45,9812.45,5
3309.26,4309.26,1
8394.84,9394.84,3
3166.44,4166.44,5
6221.47,7221.47,6
3286.25,4286.25,8
4635.77,5635.77,10
876.25,1876.25,6
50.81,1050.81,7
608.00,1608.00,1
6043.68,7043.68,1
7563.10,8563.10,8
1929.68,2929.68,6
6923.06,7923.06,6
927.49,1927.49,3
6875.40,7875.40,6
661.23,1661.23,8
4432.38,5432.38,2
