value1,value2,riskMin
6993.85,7993.85,1
2039.83,3039.83,5
3153.24,4153.24,3
3900.09,4900.09,2
3097.29,4097.29,10
6704.74,7704.74,4
5992.58,6992.58,5
3699.60,4699.60,3
7253.74,8253.74,6
1590.94,2590.94,9
2670.32,3670.32,6
4067.61,5067.61,8
7091.96,8091.96,3
8142.23,9142.23,2
8805.15,9805.15,8
7695.27,8695.27,4
3156.35,4156.35,1
4542.13,5542.13,3
4810.22,5810.22,9
3761.02,4761.02,10
254.04,1254.04,6
3093.90,4093.90,4
1254.51,2254.51,6
2054.95,3054.95,10
5300.20,6300.20,9
8015.26,9015.26,4
4893.30,5893.30,10
6693.38,7693.38,10
4456.90,5456.90,6
7954.39,8954.39,4
3371.48,4371.48,9
624.68,1624.68,9
5520.94,6520.94,3
4404.74,5404.74,7
3026.84,4026.84,3
8597.77,9597.77,4
5783.66,6783.66,3
6908.55,7908.55,9
2757.31,3757.31,2
5225.57,6225.57,10
2924.63,3924.63,2
6598.21,7598.21,2
5835.79,6835.79,5
6480.62,7480.62,6
8043.83,9043.83,4
7446.92,8446.92,8
5920.07,6920.07,10
6898.81,7898.81,10
5239.75,6239.75,8
160.70,1160.70,2
6424.70,7424.70,5
2913.88,3913.88,9
7431.11,8431.11,10
127.13,1127.13,4
1304.06,2304.06,2
4806.85,5806.85,8
547.21,1547.21,7
2286.42,3286.42,7
8094.22,9094.22,10
8424.27,9424.27,7
5097.00,6097.00,2
5360.27,6360.27,8
1528.00,2528.00,7
7023.59,8023.59,5
4214.15,5214.15,6
7077.28,8077.28,7
969.11,1969.11,8
2753.85,3753.85,2
8978.09,9978.09,10
1990.96,2990.96,8
5403.83,6403.83,4
2521.12,3521.12,6
467.62,1467.62,8
6180.80,7180.80,6
7422.45,8422.45,9
450.59,1450.59,2
5122.36,6122.36,6
3647.53,4647.53,4
3957.01,4957.01,8
6205.04,7205.04,2
6498.30,7498.30,10
8012.45,9012.45,6
2.02,1002.02,2
3900.95,4900.95,10
3010.54,4010.54,8
7265.59,8265.59,1
4912.61,5912.61,4
1862.74,2862.74,9
5282.54,6282.54,4
698.67,1698.67,9
5479.56,6479.56,1
4538.55,5538.55,5
1963.53,2963.53,6
8833.90,9833.90,5
6948.29,7948.29,9
3370.47,4370.47,2
2452.17,3452.17,1
5506.59,6506.59,2
6652.97,7652.97,6
5553.95,6553.95,9
4665.27,5665.27,7
275.42,1275.42,4
8445.86,9445.86,6
1455.47,2455.47,4
527.25,1527.25,1
1875.25,2875.25,7
3633.39,4633.39,8
6989.91,7989.91,5
2112.59,3112.59,2
7459.84,8459.84,1
8497.82,9497.82,1
7728.11,8728.11,6
5655.91,6655.91,4
3230.35,4230.35,4
8545.96,9545.96,6
7634.99,8634.99,4
8929.78,9929.78,4
1645.15,2645.15,1
543.00,1543.00,7
3586.80,4586.80,3
678.13,1678.13,2
7550.78,8550.78,4
8862.76,9862.76,3
4625.43,5625.43,5
955.04,1955.04,7
4166.75,5166.75,3
217.75,1217.75,3
4954.94,5954.94,7
6847.25,7847.25,2
8160.02,9160.02,1
970.25,1970.25,2
8130.92,9130.92,7
6319.70,7319.70,4
7931.69,8931.69,8
8814.50,9814.50,2
8634.22,9634.22,9
5902.88,6902.88,10
439.25,1439.25,5
4051.35,5051.35,7
934.53,1934.53,9
6898.20,7898.20,2
6233.51,7233.51,9
5139.18,6139.18,2
2352.65,3352.65,4
8393.58,9393.58,3
3101.18,4101.18,9
933.08,1933.08,5
2120.54,3120.54,8
5007.85,6007.85,1
1580.12,2580.12,9
5551.81,6551.81,6
4348.33,5348.33,8
7194.92,8194.92,5
6324.91,7324.91,5
8216.26,9216.26,5
4455.63,5455.63,8
8582.07,9582.07,1
2622.67,3622.67,2
6561.92,7561.92,10
5561.48,6561.48,9
8060.52,9060.52,9
3432.03,4432.03,1
7762.22,8762.22,2
4390.02,5390.02,7
729.30,1729.30,2
3887.23,4887.23,1
530.74,1530.74,2
6207.37,7207.37,1
8779.00,9779.00,7
2882.59,3882.59,9
3464.06,4464.06,4
2914.69,3914.69,4
7622.08,8622.08,7
5844.82,6844.82,3
8806.67,9806.67,2
6671.80,7671.80,1
1088.61,2088.61,3
8187.30,9187.30,1
3176.40,4176.40,9
2788.84,3788.84,8
36.56,1036.56,7
1906.31,2906.31,2
8988.80,9988.80,10
308.36,1308.36,3
2924.49,3924.49,3
7868.00,8868.00,2
2717.52,3717.52,4
5899.23,6899.23,4
7582.78,8582.78,4
2199.74,3199.74,7
4974.99,5974.99,6
2823.40,3823.40,2
8839.92,9839.92,8
8853.87,9853.87,8
4991.52,5991.52,7
3728.63,4728.63,10
6729.13,7729.13,9
5476.78,6476.78,5
4006.77,5006.77,1
2509.42,3509.42,4
5553.21,6553.21,3
2673.96,3673.96,3
3505.85,4505.85,9
8095.06,9095.06,6
5131.89,6131.89,3
202.82,1202.82,8
7072.73,8072.73,4
3632.11,4632.11,3
526.28,1526.28,7
5499.29,6499.29,9
1880.62,2880.62,7
477.26,1477.26,9
531.74,1531.74,10
6812.21,7812.21,9
775.23,1775.23,1
8788.25,9788.25,2
2278.43,3278.43,5
6498.91,7498.91,2
7361.39,8361.39,8
6363.25,7363.25,9
4573.65,5573.65,4
255.57,1255.57,4
8102.19,9102.19,8
6033.84,7033.84,6
8780.77,9780.77,3
104.09,1104.09,1
3855.61,4855.61,7
3150.44,4150.44,10
2345.26,3345.26,1
4330.31,5330.31,7
8476.28,9476.28,4
1031.55,2031.55,6
7761.85,8761.85,5
6623.45,7623.45,3
7615.84,8615.84,3
8184.52,9184.52,10
7210.95,8210.95,6
7868.59,8868.59,10
8978.54,9978.54,5
7385.63,8385.63,2
4084.31,5084.31,9
2219.26,3219.26,2
4388.69,5388.69,9
1553.32,2553.32,10
7644.79,8644.79,2
2658.61,3658.61,9
1761.09,2761.09,10
3720.31,4720.31,6
2525.20,3525.20,8
1541.35,2541.35,8
3638.91,4638.91,8
7248.56,8248.56,7
1235.35,2235.35,5
7995.73,8995.73,2
2376.12,3376.12,2
3913.82,4913.82,7
4309.01,5309.01,4
3319.71,4319.71,2
