value1,value2,riskMin
5822.13,6822.13,1
4376.58,5376.58,1
3145.88,4145.88,10
3250.66,4250.66,5
5168.21,6168.21,9
5614.84,6614.84,3
2101.68,3101.68,3
4085.23,5085.23,2
8747.17,9747.17,5
1723.64,2723.64,2
139.94,1139.94,10
7600.80,8600.80,7
4912.38,5912.38,5
4944.48,5944.48,4
6817.96,7817.96,6
2518.92,3518.92,5
548.70,1548.70,7
471.19,1471.19,4
7885.81,8885.81,6
706.82,1706.82,10
393.17,1393.17,10
204.22,1204.22,2
8074.36,9074.36,3
4634.51,5634.51,9
5703.47,6703.47,8
8042.37,9042.37,5
7194.58,8194.58,4
6325.72,7325.72,8
3595.60,4595.60,7
7239.20,8239.20,4
183.19,1183.19,4
19.93,1019.93,9
2400.58,3400.58,5
4948.70,5948.70,6
5071.95,6071.95,6
1151.19,2151.19,8
221.85,1221.85,5
1374.54,2374.54,7
447.89,1447.89,3
4166.44,5166.44,9
7847.95,8847.95,1
7900.93,8900.93,7
450.61,1450.61,1
4281.55,5281.55,1
5797.64,6797.64,4
8311.06,9311.06,6
1159.96,2159.96,7
7872.10,8872.10,4
2476.97,3476.97,10
4141.90,5141.90,8
7847.64,8847.64,8
665.88,1665.88,3
4813.78,5813.78,9
441.66,1441.66,5
7781.44,8781.44,6
3828.62,4828.62,3
4827.35,5827.35,6
5606.55,6606.55,3
3411.49,4411.49,1
2981.16,3981.16,8
1087.55,2087.55,1
2605.59,3605.59,8
957.71,1957.71,9
8956.37,9956.37,2
2035.44,3035.44,2
7143.92,8143.92,8
8832.13,9832.13,3
8984.04,9984.04,6
2467.01,3467.01,5
8162.69,9162.69,3
2436.22,3436.22,6
7002.44,8002.44,1
4834.92,5834.92,4
5384.46,6384.46,10
690.24,1690.24,3
1940.60,2940.60,2
2283.71,3283.71,8
1352.24,2352.24,6
991.00,1991.00,3
335.39,1335.39,4
7807.68,8807.68,7
3903.64,4903.64,10
5017.95,6017.95,5
3265.50,4265.50,1
3584.97,4584.97,4
1203.04,2203.04,9
5071.13,6071.13,2
758.40,1758.40,10
3295.60,4295.60,10
5118.76,6118.76,6
8133.30,9133.30,10
4999.32,5999.32,10
4147.01,5147.01,9
7781.83,8781.83,4
8103.18,9103.18,9
3518.59,4518.59,10
7900.71,8900.71,2
860.89,1860.89,5
2194.63,3194.63,3
6218.40,7218.40,4
7583.30,8583.30,9
7306.37,8306.37,9
7183.29,8183.29,2
2515.77,3515.77,3
6861.24,7861.24,10
2787.34,3787.34,7
4398.61,5398.61,10
1906.32,2906.32,9
8519.98,9519.98,7
4607.48,5607.48,3
2294.01,3294.01,4
8007.69,9007.69,3
1795.42,2795.42,2
2742.68,3742.68,2
6316.81,7316.81,7
2219.23,3219.23,7
3811.04,4811.04,8
2601.19,3601.19,7
3174.12,4174.12,10
871.50,1871.50,4
7352.75,8352.75,4
6837.12,7837.12,5
2530.82,3530.82,7
4449.59,5449.59,5
2110.89,3110.89,5
1827.64,2827.64,8
7556.70,8556.70,6
6712.75,7712.75,8
7203.89,8203.89,8
391.43,1391.43,2
2484.77,3484.77,10
1333.44,2333.44,6
1810.05,2810.05,10
7727.46,8727.46,9
2671.22,3671.22,8
8813.29,9813.29,3
535.74,1535.74,4
7995.57,8995.57,4
2326.55,3326.55,4
2656.10,3656.10,2
372.28,1372.28,1
6159.75,7159.75,10
2679.90,3679.90,1
5078.43,6078.43,4
4797.55,5797.55,9
8746.33,9746.33,1
5455.28,6455.28,10
5389.26,6389.26,2
7487.29,8487.29,10
6716.97,7716.97,2
4086.79,5086.79,8
8781.52,9781.52,1
2866.45,3866.45,5
7264.68,8264.68,7
7532.83,8532.83,6
5839.88,6839.88,2
3172.87,4172.87,1
663.24,1663.24,5
5119.97,6119.97,10
5010.32,6010.32,5
67.63,1067.63,9
3348.98,4348.98,3
6850.70,7850.70,2
1506.73,2506.73,1
8023.82,9023.82,3
7811.07,8811.07,9
2642.74,3642.74,6
3295.01,4295.01,10
3594.69,4594.69,8
8093.51,9093.51,9
6171.40,7171.40,2
2525.25,3525.25,4
7212.30,8212.30,2
7360.32,8360.32,1
6299.25,7299.25,3
2941.34,3941.34,2
5829.70,6829.70,8
1994.29,2994.29,3
6484.42,7484.42,8
2734.59,3734.59,4
3595.02,4595.02,10
649.23,1649.23,4
343.27,1343.27,6
105.41,1105.41,2
7860.47,8860.47,10
8975.27,9975.27,5
3532.24,4532.24,9
8522.84,9522.84,7
6377.81,7377.81,1
1913.31,2913.31,4
5935.44,6935.44,2
7627.80,8627.80,8
3134.10,4134.10,2
397.83,1397.83,8
2470.49,3470.49,7
4697.20,5697.20,10
226.04,1226.04,1
7512.17,8512.17,9
5625.18,6625.18,1
6095.00,7095.00,4
4671.12,5671.12,7
7965.19,8965.19,1
1628.84,2628.84,7
5685.51,6685.51,8
3492.09,4492.09,10
666.92,1666.92,5
8257.95,9257.95,7
4515.20,5515.20,4
3593.89,4593.89,5
4000.71,5000.71,6
6035.53,7035.53,7
8403.81,9403.81,6
6356.80,7356.80,4
5553.10,6553.10,6
3666.43,4666.43,5
7382.89,8382.89,1
1895.46,2895.46,7
5865.18,6865.18,5
1158.63,2158.63,1
8121.64,9121.64,5
5151.48,6151.48,8
3614.25,4614.25,5
7216.37,8216.37,7
2763.50,3763.50,1
5391.99,6391.99,3
4283.07,5283.07,10
5200.71,6200.71,5
622.70,1622.70,8
5940.80,6940.80,9
3200.55,4200.55,8
6583.45,7583.45,1
5354.28,6354.28,3
2661.92,3661.92,5
6071.38,7071.38,5
5261.16,6261.16,1
8893.08,9893.08,4
603.85,1603.85,1
1095.04,2095.04,5
8036.72,9036.72,5
6271.65,7271.65,7
6479.41,7479.41,8
2207.16,3207.16,3
1751.96,2751.96,1
1472.34,2472.34,9
151.80,1151.80,9
7166.63,8166.63,3
6997.71,7997.71,10
577.84,1577.84,8
6797.25,7797.25,3
2330.68,3330.68,6
6617.24,7617.24,6
3475.19,4475.19,5
8865.26,9865.26,5
2284.67,3284.67,7
8730.86,9730.86,10
4291.39,5291.39,9
6726.12,7726.12,2
3661.42,4661.42,1
5166.31,6166.31,4
3132.00,4132.00,5
5022.81,6022.81,9
5744.03,6744.03,4
2701.83,3701.83,5
7825.80,8825.80,3
6192.47,7192.47,7
1902.43,2902.43,3
4681.92,5681.92,1
506.14,1506.14,7
1524.71,2524.71,5
782.69,1782.69,10
2414.54,3414.54,4
7470.01,8470.01,2
5036.29,6036.29,2
4026.22,5026.22,4
4412.20,5412.20,8
3824.24,4824.24,2
2591.36,3591.36,9
6325.61,7325.61,10
1405.96,2405.96,1
7661.82,8661.82,2
8232.92,9232.92,8
7871.19,8871.19,6
